Temperature (°C),Humidity (%),Accel_X (g),Accel_Y (g),Accel_Z (g),Soil_Moisture,Light_Intensity (Lux),LIS3DH_Temp (°C),BME680_Temp (°C),BME680_Humidity (%),BME680_Pressure (hPa),BME680_Gas (Ohms)
28.73,43.54,-0.8679999999999999,0.155,-0.424,730.23,311.9,20.64,24.26,43.45,999.07,867.55
28.8,30.33,-1.929,1.854,-1.2390000000000003,458.59,409.87,23.5,34.39,45.83,976.09,227.1699999999999
29.55,41.99,0.588,-1.22,0.343,482.05,1096.06,21.6,25.26,33.29,1044.29,185.39999999999998
30.47,37.28,-1.584,-1.818,-1.862,666.34,982.69,27.58,29.36,60.01,1043.41,358.41
30.03,43.14,0.516,1.492,-0.448,631.48,1988.45,31.58,22.03,39.89,958.27,671.88
34.46,39.98,1.359,-0.733,-0.58,663.21,1122.24,20.21,27.96,53.71,969.5,237.38
26.93,71.44,1.963,-1.4739999999999998,1.882,264.59,600.85,24.33,20.92,51.97,1037.46,262.59
21.6,75.37,1.125,-0.026,0.298,597.27,809.08,23.89,28.45,70.35,1047.75,565.57
32.6,43.7,-0.788,0.729,-1.136,712.83,963.55,24.1,27.77,46.03,984.35,557.91
30.23,79.09,1.783,0.527,-0.493,597.31,1248.8,20.54,27.54,44.74,965.84,368.69
32.03,52.71,1.4390000000000003,-1.419,1.137,759.26,907.93,32.94,32.98,58.64,960.66,254.90999999999997
33.92,47.05,-0.585,1.949,-1.458,604.98,535.96,23.61,24.82,76.83,961.53,205.0
21.02,32.19,0.365,0.971,-0.973,749.82,1823.12,25.92,29.98,56.31,1004.35,932.8499999999999
26.82,69.63,-1.262,-0.797,1.33,231.76,917.75,22.61,27.96,64.88,971.13,848.62
30.12,40.37,0.259,1.088,-0.089,613.68,503.64,33.29,22.47,50.85,1018.16,373.64
20.34,45.96,-0.443,0.229,1.681,540.99,1866.85,29.86,31.46,41.38,963.63,797.18
33.62,75.06,0.954,0.5,0.753,735.38,179.14999999999998,28.11,23.15,51.09,986.3,666.51
26.9,55.98,0.212,1.776,-1.247,344.63,1095.34,26.93,32.6,32.14,971.16,585.59
25.33,46.15,-1.271,-0.402,-1.718,555.43,1661.47,27.79,28.48,68.71,1042.08,737.87
29.83,47.58,1.761,1.015,0.229,524.4,957.7,31.25,31.78,78.25,988.22,476.03
32.65,52.65,-0.179,1.831,-0.7430000000000001,716.37,408.23,22.01,22.69,51.6,1007.52,879.46
24.87,30.98,1.503,1.288,1.868,250.16,1443.44,27.14,34.47,52.89,980.76,980.2
32.66,73.7,1.84,-0.719,0.811,723.36,225.31999999999994,34.24,28.73,68.86,980.67,127.13
22.23,37.99,1.8560000000000003,-0.934,0.864,509.3,1025.89,30.77,29.98,33.87,974.71,318.8
32.73,46.41,-0.548,1.63,1.808,360.87,163.26,29.04,24.83,78.67,960.85,479.72
28.87,59.53,-0.414,1.6570000000000003,-0.021,748.92,1001.15,28.59,27.0,74.33,1046.81,519.92
22.66,57.62,1.34,0.687,-0.491,414.99,875.04,30.55,26.26,37.94,1027.31,467.07
